,,amount,amount,no_of_donors,no_of_donors
,,sum,mean,sum,mean
CUNDINAMARCA,GAMA,9000000.0,9000000.0,1,1.0
CUNDINAMARCA,GIRARDOT,384123314.0,54874759.14285714,37,5.285714285714286
CUNDINAMARCA,GRANADA,13194800.0,6597400.0,7,3.5
CUNDINAMARCA,GUADUAS,10000000.0,10000000.0,1,1.0
CUNDINAMARCA,GUASCA,11600000.0,3866666.6666666665,4,1.3333333333333333
CUNDINAMARCA,GUATAVITA,14300000.0,7150000.0,8,4.0
CUNDINAMARCA,GUAYABAL DE SIQUIMA,4500000.0,4500000.0,2,2.0
CUNDINAMARCA,GUAYABETAL,2000000.0,2000000.0,1,1.0
CUNDINAMARCA,JUNIN,18000000.0,18000000.0,2,2.0
CUNDINAMARCA,LA CALERA,4000000.0,4000000.0,2,2.0
CUNDINAMARCA,LA MESA,18196000.0,18196000.0,7,7.0
CUNDINAMARCA,LA PALMA,400000.0,400000.0,1,1.0
CUNDINAMARCA,LA PEÑA,8000000.0,8000000.0,1,1.0
CUNDINAMARCA,LA VEGA,119298000.0,39766000.0,8,2.6666666666666665
CUNDINAMARCA,MACHETA,3000000.0,3000000.0,1,1.0
CUNDINAMARCA,MADRID,369102720.0,92275680.0,41,10.25
CUNDINAMARCA,MANTA,3230000.0,3230000.0,1,1.0
CUNDINAMARCA,MEDINA,42900000.0,8580000.0,17,3.4
CUNDINAMARCA,MOSQUERA,12700000.0,6350000.0,3,1.5
CUNDINAMARCA,NEMOCON,13450000.0,13450000.0,3,3.0
CUNDINAMARCA,NILO,35000000.0,35000000.0,5,5.0
CUNDINAMARCA,NIMAIMA,18000000.0,18000000.0,2,2.0
CUNDINAMARCA,NOCAIMA,9500000.0,9500000.0,3,3.0
CUNDINAMARCA,PACHO,53800000.0,26900000.0,14,7.0
CUNDINAMARCA,PANDI,10300000.0,10300000.0,3,3.0
